artiste,titre,popularite,score_danse,tempo,genre,duree
Jaime Wyatt,Sweet Mess,32.0,0.51,115.935,1,345001.0ms
Ghum,Saturn,37.0,0.343,91.601,1,232485.0ms
The Night Flight Orchestra,White Jeans,45.0,0.514,153.035,10,251507.0ms
Haim Moshe,אהבת חיי,32.0,0.764,154.763,9,263693.0ms
One Hope,the overthinker,52.0,0.663,118.505,5,196250.0ms
Barış Manço,Gönül Dağı,25.0,0.516,78.294,10,258264.0ms
Onslaught,Metal Forces (Remastered),22.0,0.175,107.422,8,396813.0ms
Journey,Don't Stop Believin',80.0,0.5,118.852,10,4.18311667min
Vintage Blues,Blues de un Mal Día,19.0,0.345,135.98,2,461480.0ms
"Florida Georgia Line, Tim McGraw",May We All,70.0,0.514,150.033,4,3.76955min
Washed Out,Feel It All Around,65.0,0.34,172.022,6,192080.0ms
Kishore Kumar,Aanewala Pal Janewala Hai,19.0,0.473,107.176,3,4.656433333min
Grandaddy,The Crystal Lake - Piano Version,31.0,0.434,88.612,6,351187.0ms
Backstreet Boys,Something That I Already Know,36.0,0.368,159.859,9,3.498883333min
King Princess,1950,77.0,0.6,71.912,9,225133.0ms
Thunderpussy,Speed Queen,38.0,0.414,157.805,10,248360.0ms
Noga Erez,NO news on TV,47.0,0.766,77.447,9,185884.0ms
Nightstalker,Dead Rock Commandos,41.0,0.436,92.995,8,196867.0ms
Deftones,Genesis,56.0,0.18,128.165,10,317281.0ms
Connie Constance,Electric Girl,41.0,0.504,159.911,6,171036.0ms
Feeder,High,50.0,0.499,80.175,10,273280.0ms
Charlie Houston,19,45.0,0.878,126.059,6,184762.0ms
Fear Factory,Edgecrusher,52.0,0.654,122.051,8,221400.0ms
Darkher,Moths,40.0,0.18,80.163,8,309920.0ms
Black Pistol Fire,Well Wasted,39.0,0.527,147.021,2,205973.0ms
Boy & Bear,Telescope,25.0,0.532,92.987,6,203920.0ms
"Asha Bhosle, Kishore Kumar",Lekar Hum Diwana Dil,26.0,0.39,99.107,3,5.952min
Jex Opolis,Gem,34.0,0.731,127.996,6,328033.0ms
Red Sovine,Teddy Bear,50.0,0.592,109.625,4,4.998883333min
shame,One Rizla,47.0,0.425,131.949,10,214578.0ms
Covet,nero,39.0,0.255,156.959,8,397800.0ms
Ian Dury,Sex & Drugs & Rock & Roll,51.0,0.833,104.8,1,186627.0ms
Matt Andersen,Something To Lose,29.0,0.363,178.518,2,288360.0ms
Saigenji,Ajisai,25.0,0.468,129.935,7,2.899283333min
Hurts,Wonderful Life,55.0,0.696,120.022,10,254133.0ms
WILLOW,t r a n s p a r e n t s o u l feat. Travis Barker,77.0,0.39,90.021,9,168030.0ms
Naushad,"Ram Aur Shyam Theme, Pt. 3 - Instrumental",4.0,0.407,112.304,3,2.177783333min
Kasabian,Underdog,63.0,0.526,101.016,1,277467.0ms
Gonzalez,Dusted,28.0,0.242,147.049,10,235013.0ms
"Mohammed Rafi, Asha Bhosle",Main Sharabi Nahin,3.0,0.331,140.927,3,5.189666667min
Fleetwood Mac,Gold Dust Woman - 2004 Remaster,60.0,0.666,123.18,10,295627.0ms
Dave Fields,Pocket Full of Dust (Live),32.0,0.257,183.927,2,497133.0ms
STACEY,The Songwriter,40.0,0.415,96.624,1,227830.0ms
Stella Got,קמט,19.0,0.669,106.98,6,262835.0ms
Deftones,Change (In the House of Flies) - Acoustic; 2005 Remaster,41.0,0.463,134.931,10,316293.0ms
Sir Spyro,Farda,12.0,0.484,174.619,5,206306.0ms
Arik Einstein,לא יודע איך לומר לך,27.0,0.43,121.002,10,267853.0ms
Altin Gün,Yüce Dag Basinda,48.0,0.823,111.974,1,258316.0ms
Middle Kids,R U 4 Me?,35.0,0.576,115.011,6,169560.0ms
Stan Webb,Poor Boy,37.0,0.453,168.951,2,309440.0ms
Slothrust,Double Down,38.0,0.518,150.024,10,190947.0ms
Tommy B,Syernide X Tommy,24.0,0.642,138.636,5,197143.0ms
Excision,Unbound,56.0,0.429,149.884,10,227167.0ms
Big Jesus,Lock & Key,19.0,0.388,82.013,10,236676.0ms
Animals As Leaders,Tempting Time,36.0,0.248,110.047,8,323936.0ms
Salem,DRACULADS,40.0,0.357,174.978,6,137143.0ms
Yeah Yeah Yeahs,Heads Will Roll,67.0,0.562,132.009,1,221000.0ms
American Football,Never Meant,59.0,0.436,144.26,10,268333.0ms
Avenged Sevenfold,Afterlife,68.0,0.487,110.02,8,352427.0ms
OOMPH!,Augen auf!,54.0,0.7,129.985,8,200573.0ms
phem,congratulations,51.0,0.457,129.514,10,132371.0ms
Charlie Cunningham,You Sigh,60.0,0.629,90.965,9,178827.0ms
Strapping Young Lad,Detox,41.0,0.117,164.227,8,337000.0ms
Manchester Orchestra,Bed Head,57.0,0.513,122.057,10,244493.0ms
The Oak Ridge Boys,Elvira,60.0,0.825,126.946,4,3.76045min
Mimi Webb,Reasons,67.0,0.403,178.24,9,162062.0ms
Stephen Malkmus,Xian Man,28.0,0.628,118.808,1,246907.0ms
Mut4y,Bad,30.0,0.726,95.971,9,200000.0ms
Black Sabbath,Iron Man - 2012 - Remaster,65.0,0.336,155.587,10,5.92173333min
Conway the Machine,200 Pies (feat. 2 Chainz),56.0,0.598,74.093,5,265384.0ms
Edwin McCain,T.C.B. or T.Y.A.,34.0,0.74,104.069,2,218507.0ms
Lady Gaga,Shallow - Radio Edit,79.0,0.575,95.801,9,217213.0ms
Justice,D.A.N.C.E.,66.0,0.613,113.015,6,242267.0ms
The Japanese House,Chewing Cotton Wool,55.0,0.348,151.191,6,209344.0ms
The Polar Boys,Let Go,35.0,0.581,170.039,6,207238.0ms
Nothgard,Lightcrawler,41.0,0.506,119.991,8,268011.0ms
Halestorm,I Miss the Misery,61.0,0.469,164.042,10,183507.0ms
The Who,Getting In Tune,44.0,0.369,139.65,10,288453.0ms
"Brandi Carlile, Sam Smith",Party of One (feat. Sam Smith),55.0,0.354,139.056,0,4.32598333min
Intelligency,August,65.0,0.835,125.023,10,179520.0ms
JID,Skegee,63.0,0.389,70.178,5,186168.0ms
New Model Army,Young Gifted and Skint,29.0,0.538,109.318,10,189467.0ms
Chet Faker,Low,64.0,0.651,79.538,9,274424.0ms
King Gizzard & The Lizard Wizard,Work This Time,61.0,0.529,113.996,1,276893.0ms
Swearin',Grow into a Ghost,25.0,0.326,164.741,10,191493.0ms
Talk to the Lord,Natalie Bergman,33.0,0.753,136.798,0,3.450966667min
Hanan Ben Ari,אמא אם הייתי,47.0,0.527,131.897,9,272673.0ms
Ella Fitzgerald,Smooth Sailing,46.0,0.564,118.713,2,186027.0ms
girlhouse,knuckle tattoo,43.0,0.502,139.875,6,212571.0ms
The Butler Twins,I Ain't Got Nobody To Tell My Troubles To,5.0,0.464,138.645,2,431040.0ms
Horace Silver,The Sophisticated Hippie - Easy Mo Bee Remix,45.0,0.719,108.954,5,413560.0ms
Omer Adam,תרחמי עליי,28.0,0.625,100.96,9,221520.0ms
Foreign Air,Wake Me Up,45.0,0.229,177.989,10,222760.0ms
First Aid Kit,Ghost Town,41.0,0.346,125.358,6,287360.0ms
Reuben,Freddy Kreuger,36.0,0.485,146.157,10,148827.0ms
Franz Ferdinand,Evil Eye,52.0,0.702,110.968,10,167253.0ms
Griff,Black Hole,76.0,0.878,124.069,9,200524.0ms
Kartikeya Vashist,The Winds of Bihu,23.0,0.605,89.941,6,230000.0ms
Eli Young Band,Crazy Girl,70.0,0.366,151.343,4,3.345116667min
Slayer,Angel Of Death,57.0,0.326,105.459,8,291773.0ms
Nothing,Blue Line Baby,36.0,0.248,164.622,10,270853.0ms
Jason Isbell,If It Takes a Lifetime,52.0,0.556,84.421,10,220587.0ms
Berry Sakharof,חיית הברזל,22.0,0.571,147.905,10,337040.0ms
False Heads,Fall Around,23.0,0.525,128.895,10,207190.0ms
HXLLYWOOD,Sneaky Link,73.0,0.861,76.915,9,115392.0ms
Munkey Junkey,Oo Aa Na,8.0,0.667,143.897,6,180000.0ms
Celldweller,Into The Void - Single Edit,51.0,0.434,194.027,8,210928.0ms
The Dead Daisies,Like No Other 2021,40.0,0.491,102.022,10,209937.0ms
House Of Pain,Jump Around,74.0,0.854,106.894,5,214947.0ms
Mika Sade,Humor,20.0,0.571,169.829,6,193549.0ms
Grace Mitchell,MANGO,42.0,0.765,125.012,1,185390.0ms
Danny Gilboa,זה מכבר,17.0,0.608,133.97,10,276159.0ms
Mahavishnu Orchestra,Be Happy,35.0,0.253,98.203,10,212560.0ms
Upside Down,Watchhouse,41.0,0.42,71.996,0,4.14435min
Far Caspian,Warning Sign - Alt Version,37.0,0.493,155.778,6,179670.0ms
The Parlor Mob,Everything You're Breathing For,50.0,0.557,88.929,10,226853.0ms
Tōth,Turnaround (Cocaine Song),32.0,0.502,179.69,1,203498.0ms
Green Day,Dreaming,43.0,0.356,161.03,10,187405.0ms
"Manna Dey, Lata Mangeshkar",Yeh Raat Bheegi Bheegi,28.0,0.264,172.3,3,4.493783333min
Andromida,Dystopia Foretold,42.0,0.527,133.005,8,243722.0ms
Born Ruffians,Checkin' Out,36.0,0.475,104.0,6,157000.0ms
Diles que no me maten,Pachuca,24.0,0.135,164.494,10,447270.0ms
Slash,Anastasia,55.0,0.449,100.487,10,367280.0ms
w. baer,I Was Wrong,36.0,0.342,121.587,6,204590.0ms
millennium parade,Fly with me,44.0,0.556,89.952,10,277467.0ms
Kenny Loggins,Footloose,67.0,0.564,173.938,10,226293.0ms
Pattern-Seeking Animals,Raining Hard in Heaven,18.0,0.34,114.1,10,511088.0ms
Tim Schou,If I'm Being Honest,45.0,0.563,74.881,9,231924.0ms
Charli XCX,Blame It on Your Love (feat. Lizzo),60.0,0.716,100.007,9,191114.0ms
Oceans,Break My Fall,30.0,0.404,160.001,6,236855.0ms
"Joe Walsh, Amjad Ali Khan",Hope (We Shall Overcome),28.0,0.362,98.105,0,5.144866667min
The Spencer Davis Group,Sittin' And Thinkin' - Mono Version,1.0,0.371,106.2,2,177307.0ms
The Sounds,No One Sleeps When I’m Awake,42.0,0.527,131.968,10,264307.0ms
Momma,Biohazard,40.0,0.565,124.069,1,145920.0ms
Lenny Kravitz,I Belong To You,54.0,0.687,87.314,10,257733.0ms
FEWS,More Than Ever,34.0,0.379,166.153,1,199863.0ms
Leon Bridges,Beyond,21.0,0.581,76.014,0,4.01min
Strawberry Station,Looking for Loving,26.0,0.698,128.023,6,204399.0ms
Calvin Harris,One Kiss (with Dua Lipa),82.0,0.791,123.994,9,214847.0ms
Iron & Wine,Time After Time,63.0,0.628,125.298,0,2.83695min
Eliad,ממריא איתי,22.0,0.688,114.96,9,205427.0ms
Marcy Playground,Sex & Candy,68.0,0.67,80.511,10,173493.0ms
Faces,Ooh La La - 2015 Remaster,60.0,0.603,147.814,1,214960.0ms
Jesse Malin,Strangers & Thieves,21.0,0.381,145.972,10,196173.0ms
Gang Starr,Work,64.0,0.787,92.606,5,177667.0ms
Koralle,Laid Back,46.0,0.73,86.825,5,199640.0ms
Ishi,Not My Girl - Yuksek Remix,37.0,0.731,99.015,6,233333.0ms
Radiohead,Karma Police,75.0,0.36,74.807,1,264067.0ms
A Perfect Circle,The Doomed,54.0,0.367,106.329,8,281781.0ms
Freddie Spruell,Mr Freddie's Kokomo Blues,23.0,0.749,100.449,2,186640.0ms
Mukesh,Kehta Hai Joker Sara Zamana,23.0,0.384,113.606,3,5.469783333min
Editors,An End Has A Start,54.0,0.349,149.904,6,225533.0ms
Janus Rasmussen,Neyð,32.0,0.726,120.014,6,274125.0ms
Panic! At The Disco,I Write Sins Not Tragedies,71.0,0.566,169.961,10,185587.0ms
Shinedown,GET UP,62.0,0.552,74.954,10,245787.0ms
Nirvana,Heart-Shaped Box,76.0,0.256,203.006,1,281160.0ms
Margaret Walker,We Have Been Believers,4.0,0.619,79.57,5,210160.0ms
Masked Wolf,Astronaut In The Ocean (Remix) - feat. G-Eazy & DDG,71.0,0.788,150.031,5,195750.0ms
Green Carnation,The World Without a View,30.0,0.454,135.983,8,573989.0ms
K. S. Harisankar,Mukthi,23.0,0.507,127.939,0,3.28125min
The Teskey Brothers,Hold Me,48.0,0.579,71.022,2,187973.0ms
WARGASM (UK),Your Patron Saints,48.0,0.46,161.055,8,204160.0ms
Orions Belte,Joe Frazier,44.0,0.432,133.77,10,338613.0ms
Bailey Rushlow,Senorita - Acoustic,47.0,0.761,114.102,9,199056.0ms
Everlit,Welcome to the Show,20.0,0.624,101.951,8,179623.0ms
The Gathering,Shortest Day,30.0,0.526,112.481,10,252053.0ms
Sam Fischer,Simple,64.0,0.61,72.089,9,182180.0ms
Miri Mesika,ככה זה (לאהוב אותך),25.0,0.518,121.703,9,242416.0ms
Delain,Burning Bridges,40.0,0.373,159.996,8,256040.0ms
KALEO,Skinny,65.0,0.484,85.076,8,222317.0ms
Kishore Kumar,O Saathi Re - Male Vocals,28.0,0.285,101.473,3,4.495283333min
Eyedress,Jealous,79.0,0.474,93.01,6,122339.0ms
Barbara Mandrell,(If Loving You Is Wrong) I Don't Want To Be Right,35.0,0.621,74.256,4,3.08355min
Dani Wilde,Falling,37.0,0.441,134.134,2,303600.0ms
Amnesia Scanner,AS Too Wrong,38.0,0.568,102.023,6,254500.0ms
Behemoth,Ov Fire and the Void,45.0,0.471,130.034,8,267320.0ms
Gera MX,Botella Tras Botella,13.0,0.727,106.891,9,197333.0ms
Poolside,Shakedown Street,43.0,0.777,102.389,6,256147.0ms
Frank Carter & The Rattlesnakes,My Town (feat. Joe Talbot),57.0,0.591,177.064,1,164485.0ms
"Mithoon, Arijit Singh","Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",62.0,0.285,179.918,3,5.677866667min
Russell Dickerson,Love You Like I Used To,67.0,0.501,152.047,4,3.110216667min
Hadag Nahash,קובלנה על מפלגות ישראל,25.0,0.59,151.805,5,219893.0ms
Arrested Youth,My Friends Are Robots,53.0,0.544,100.059,1,188529.0ms
Ana Popovic,Lives That Don't Exist,36.0,0.715,100.61,2,235453.0ms
somegirlnamedanna,california,31.0,0.427,84.08,10,166203.0ms
ONUKA,ZENIT,46.0,0.658,140.055,6,271189.0ms
Manic Street Preachers,You Stole the Sun from My Heart,51.0,0.618,117.987,6,260507.0ms
Alice Cooper,Rock & Roll,34.0,0.596,121.922,10,283010.0ms
George Michael,Praying For Time - Live,38.0,0.548,127.886,9,4.967533333min
Paramore,Brick by Boring Brick,57.0,0.436,164.975,10,253947.0ms
LightSkinKeisha,Drama,49.0,0.906,126.003,5,213370.0ms
Lata Mangeshkar,Ban Ke Panchhi Gaaye Pyar Ka Tarana,6.0,0.446,180.77,3,3.542883333min
Eden Ben Zaken,מקסיקו,30.0,0.602,177.916,9,203658.0ms
Simple Minds,Don't You (Forget About Me),75.0,0.66,111.346,10,4.384min
Michael Swissa,איגואנה עם בוי אצ׳י,36.0,0.833,170.047,9,115138.0ms
Creedence Clearwater Revival,The Night Time Is The Right Time - Live At The Woodstock Music & Art Fair / 1969,35.0,0.454,112.878,10,209693.0ms
Faith No More,Easy,67.0,0.506,124.724,10,186960.0ms
Big Ups,Fear,24.0,0.464,126.682,10,283850.0ms
Widowspeak,Money (Hymn),37.0,0.137,66.323,6,259088.0ms
Yeah Yeah Yeahs,Gold Lion,54.0,0.521,158.744,1,187133.0ms
Etherius,The Eye of Ra,25.0,0.263,200.057,8,184360.0ms
Plastic Bertrand,Ca plane pour moi,61.0,0.422,165.764,10,182133.0ms
Anki,My Head,33.0,0.509,110.031,10,270545.0ms
John Summit,Deep End,72.0,0.773,126.007,9,196687.0ms
Tears For Fears,Everybody Wants To Rule The World,83.0,0.645,112.067,10,251489.0ms
Masok,Regimen,14.0,0.723,86.03,6,219523.0ms
StarBoi3,Dick (feat. Doja Cat),85.0,0.647,125.994,5,175238.0ms
Left to Suffer,Anger,48.0,0.413,150.026,8,206000.0ms
KLOUD,LOVE ME,50.0,0.587,102.029,10,204706.0ms
B.B. King,To Know You Is To Love You,55.0,0.872,102.597,2,515000.0ms
Vulture Industries,Deeper,40.0,0.482,129.495,8,359452.0ms
The Doves,Flying Bird,27.0,0.42,126.093,10,213787.0ms
Porcupine Tree,Shesmovedon,47.0,0.553,142.029,8,314400.0ms
Jayli Wolf,Child Of The Government,41.0,0.652,120.065,9,221393.0ms
John Kongos,He's Gonna Step On You Again,41.0,0.705,107.088,10,267787.0ms
Post Malone,Enemies (feat. DaBaby),77.0,0.542,76.388,5,196760.0ms
Proux,Funk Express,27.0,0.726,123.999,6,110313.0ms
Ruby Waters,Blow,48.0,0.696,88.951,1,143919.0ms
Don Diablo,Kill Me Better (feat. Imanbek & Trevor Daniel) - Travis Barker Alt Version,49.0,0.471,160.004,1,195528.0ms
Tzukush,שלם,22.0,0.792,116.796,5,188718.0ms
CAYAM,Chaos in the Distance,46.0,0.749,129.002,6,372151.0ms
LL Cool J,Loungin (Who Do Ya Luv),58.0,0.817,99.947,5,229373.0ms
Middle Kids,Questions,37.0,0.385,169.852,1,173640.0ms
Refused,REV001,32.0,0.557,101.968,10,190267.0ms
"Lata Mangeshkar, Amitabh Bachchan",Yeh Kahan Aa Gaye Hum - With Dialogue By Amitabh,32.0,0.39,102.496,3,7.650533333min
Pantera,Walk,73.0,0.43,118.242,8,315120.0ms
XXXTENTACION,Fuck Love (feat. Trippie Redd),82.0,0.797,131.036,5,146520.0ms
"Antonio Vivaldi, Raphael Wallfisch, City of London Sinfonia, Nicholas Kraemer","Cello Concerto in G Major, RV 414: II. Largo",37.0,0.169,88.485,7,3.468883333min
POORSTACY,Hills Have Eyes,64.0,0.473,169.975,10,130588.0ms
Tyler Bryant & the Shakedown,Ride,37.0,0.482,175.774,2,206173.0ms
Stepping Sideways,Quintessence,20.0,0.323,160.002,8,205800.0ms
Charlie Marie,Heard It Through the Red Wine,32.0,0.654,125.056,1,227453.0ms
Ammonia,Drugs,39.0,0.624,115.932,10,207000.0ms
Latto,The Biggest,14.0,0.55,96.237,5,143333.0ms
Whose Rules,Lights,43.0,0.745,88.023,6,126000.0ms
Little Buster & the Soul Brothers,First You Cry,10.0,0.372,180.456,2,265507.0ms
Cassandra Jenkins,Michelangelo,42.0,0.564,139.01,1,209837.0ms
Dark Sarah,Illuminate,33.0,0.41,160.021,8,249747.0ms
Soccer Mommy,Wide Open Spaces,43.0,0.445,82.614,6,301154.0ms
Allan Rayman,Stitch,39.0,0.731,90.024,10,165827.0ms
Highly Suspect,Lydia,53.0,0.417,127.884,10,242560.0ms
Boss Keloid,Smiling Thrush,31.0,0.236,140.926,8,316339.0ms
Dieter Huber,wolkenlos,48.0,0.453,151.524,7,3.606783333min
mxmtoon,fever dream - acoustic,50.0,0.509,98.104,9,211200.0ms
Editors,Munich,62.0,0.173,149.361,10,226427.0ms
Vince Gill,When I Call Your Name,56.0,0.506,70.554,4,4.252216667min
Aerosmith,Mama Kin,50.0,0.426,153.359,2,267227.0ms
Janis Joplin,Move Over,53.0,0.708,132.997,10,223827.0ms
Munro,Incubus,38.0,0.38,160.008,8,334969.0ms
Westlife,The Rose,5.0,0.272,109.581,9,3.651783333min
The Maine,Sticky,59.0,0.669,105.055,9,178901.0ms
"Rochak Kohli, Arijit Singh, Neha Kakkar","Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",67.0,0.718,87.029,3,3.349866667min
Action Bronson,Dmtri,55.0,0.599,81.024,5,274133.0ms
Emily Hall,Stupid Love - Acoustic Cover,26.0,0.634,102.831,9,201990.0ms
U2,Sweetest Thing,65.0,0.524,141.65,10,184543.0ms
AJR,Bang!,65.0,0.74,139.917,9,170858.0ms
Rise Against,Nowhere Generation,64.0,0.373,165.881,10,232933.0ms
ISLAND,Octopus,50.0,0.553,106.434,6,148280.0ms
"Lata Mangeshkar, S. P. Balasubrahmanyam",Hum Aapke Hain Koun,40.0,0.675,116.203,3,4.003783333min
Luna Abu Nassar,Rakevet,14.0,0.813,87.996,6,213440.0ms
Matt Stell,Prayed For You,66.0,0.6,140.032,4,3.506216667min
Rowdy Rebel,9 Bridge,68.0,0.642,95.543,5,147963.0ms
Michael Burks,I Smell Smoke,14.0,0.586,101.007,2,231027.0ms
Narkis,משה,32.0,0.506,103.905,9,254135.0ms
LANDMVRKS,Overrated,50.0,0.334,90.521,8,205333.0ms
Purity Ring,Better Off Alone,54.0,0.599,136.99,6,232000.0ms
Massel Klezmorim,Sephardic Elegy,39.0,0.706,146.365,7,2.45min
Stone Temple Pilots,Vasoline - 2019 Remaster,62.0,0.295,168.672,10,176547.0ms
Rotem Or,This Is What You All Came For,3.0,0.763,109.998,6,237813.0ms
Hannah Wicklund,Ghost,34.0,0.41,186.003,2,243397.0ms
Ran Rishon,Et Lizroa,20.0,0.633,116.109,10,226560.0ms
Death Cab for Cutie,I Will Possess Your Heart,56.0,0.605,133.074,6,505773.0ms
Rad Horror,Stay Out,38.0,0.581,120.07,1,188000.0ms
Conway Twitty,Linda On My Mind - Single Version,34.0,0.383,104.789,4,2.71155min
SEB,seaside_demo,70.0,0.706,94.98,9,2.2min
Waterparks,Stupid For You,65.0,0.581,118.408,10,191545.0ms
Crobot,Low Life,57.0,0.546,76.008,10,216515.0ms
Fumez The Engineer,A92 x Fumez The Engineer - Plugged In Freestyle,76.0,0.856,144.118,5,240000.0ms
Haiva Ru,Work It On Out,41.0,0.712,110.022,6,225969.0ms
Sorcha Richardson,First Prize Bravery,42.0,0.718,113.974,6,230053.0ms
Dermot Kennedy,Days Like This,3.0,0.642,80.444,0,2.49671667min
John Lennon,Imagine - Remastered 2010,78.0,0.547,75.752,10,187867.0ms
John Garcia,My Everything,27.0,0.409,133.255,8,216456.0ms
Ellie Goulding,Sixteen,4.0,0.824,105.85,9,189532.0ms
Russ,BANKRUPT,65.0,0.677,79.985,5,171000.0ms
Backstreet Boys,Love Somebody - Live in Japan,15.0,0.582,127.991,9,3.930316667min
070 Shake,Rocketship,44.0,0.546,76.488,6,184467.0ms
Motörhead,Thunder & Lightning,44.0,0.429,134.967,8,186133.0ms
AURAGRAPH,Sky Plaza - 猫 シ Corp. Remix,33.0,0.695,127.284,6,163625.0ms
Right on Time,Brandi Carlile,60.0,0.419,121.695,0,3.087133333min
Kenny Drew,I Could Write A Book,32.0,0.61,148.284,7,4.675333333min
AURORA,Runaway,89.0,0.422,114.089,6,248827.0ms
Manic Street Preachers,Your Love Alone Is Not Enough (feat. Nina Persson),53.0,0.344,126.766,10,235693.0ms
Suzi Quatro,Suicide - 2017 Remaster,34.0,0.634,114.928,10,247169.0ms
The Buggles,Video Killed The Radio Star,71.0,0.68,131.165,9,252773.0ms
"Anuradha Paudwal, Udit Narayan",Mujhe Neend Na Aaye,45.0,0.489,149.928,3,6.226216667min
Akolo,Why Not?,18.0,0.701,109.905,2,213818.0ms
Aerosmith,Angel,62.0,0.239,171.449,10,5.14845min
Billy Idol,Rebel Yell,72.0,0.53,166.312,10,288533.0ms
'68,Bad Bite,36.0,0.558,167.984,6,190031.0ms
Kurt Vile,Pretty Pimpin,63.0,0.566,91.108,1,298760.0ms
Talking Heads,(Nothing But) Flowers,45.0,0.603,120.764,10,333000.0ms
BROCKHAMPTON,BANKROLL (feat. A$AP Rocky & A$AP Ferg),73.0,0.784,149.059,1,202560.0ms
Zonderling,Lifetime - Acoustic Version,55.0,0.726,94.034,9,187584.0ms
Cool Sounds,Hula Hoop Group,38.0,0.622,89.995,6,231084.0ms
Rachel Silver,Shiny Stockings,43.0,0.738,102.265,7,4.288483333min
Alexandra Spence,Tidewater I,10.0,0.224,67.115,6,679647.0ms
Sleep,Dragonaut,53.0,0.352,123.607,8,343160.0ms
Jinjer,Outlander,46.0,0.506,110.219,8,236027.0ms
Ava Max,My Head & My Heart,88.0,0.614,116.001,9,174760.0ms
Quinn XCII,"Hey, Goodbye",61.0,0.787,179.95,9,183973.0ms
Peled,העולם שלי,32.0,0.708,162.076,5,225267.0ms
Brianna Harness,I Won't Bitch,43.0,0.743,117.813,2,206186.0ms
Afterglow,Breathe In,32.0,0.438,82.511,8,243631.0ms
Wristwatch,Husky,38.0,0.507,169.474,0,3.9906min
Eliza & The Delusionals,Just Exist,36.0,0.542,137.976,6,237086.0ms
The Temper Trap,Sweet Disposition,70.0,0.542,129.09,6,234360.0ms
מאיכו,כמה כסף אין לי,15.0,0.759,148.539,5,124054.0ms
Wretch 32,Ina Di Ghetto (feat. Badness & Ghetto),36.0,0.476,140.268,5,234806.0ms
Drive Away With You,Jill Andrews,34.0,0.521,125.911,0,4.306216667min
Larkin Poe,Fly Away,36.0,0.491,80.594,10,210989.0ms
Lindsay Beaver,You Hurt Me,24.0,0.295,184.699,2,223107.0ms
"Kaushiki Chakraborty, Ricky Kej",Rangi Saari Gulabi Chunariya,17.0,0.71,131.994,0,6.682616667min
Bicep,Siena,55.0,0.754,127.014,6,242928.0ms
Echo & the Bunnymen,Seven Seas,42.0,0.556,134.382,10,3.3231min
Tan Cologne,Cave Vaults on the Moon in New Mexico,20.0,0.343,135.454,6,265333.0ms
Lily Allen,Smile,68.0,0.632,95.506,9,196893.0ms
Genesis,That's All - 2007 Remaster,62.0,0.579,175.181,10,266173.0ms
Meena,Tell Me,33.0,0.556,152.783,2,295747.0ms
John Oates,Pallet Soft and Low (Live),20.0,0.392,78.152,2,509608.0ms
Sleep Token,The Night Does Not Belong To God,45.0,0.415,152.92,10,303507.0ms
Deep Purple,Smoke on the Water,64.0,0.632,114.243,10,5.70288333min
Passenger,Let Her Go,74.0,0.509,75.089,9,252867.0ms
311,Sever,41.0,0.553,106.943,10,283027.0ms
Northlane,Crash & Burn,53.0,0.227,74.824,10,246400.0ms
Distant Axis,Matt Berninger,42.0,0.614,120.0,0,4.419333333min
Kayzo,Lifeline,49.0,0.442,149.884,10,246400.0ms
Dean Lewis,Chemicals - Acoustic,50.0,0.446,75.54,0,3.91293333min
Bravo the Bagchaser,Stay Dangerous,50.0,0.859,98.0,5,225885.0ms
The Teskey Brothers,So Caught Up,51.0,0.744,99.048,10,228553.0ms
Skegss,Up In The Clouds,51.0,0.553,104.989,10,149623.0ms
AJ Tracey,Anxious,67.0,0.901,86.003,5,161000.0ms
Wheel,Wheel,53.0,0.807,84.763,8,108000.0ms
Genesis,Throwing It All Away - Remastered 2007,53.0,0.365,83.761,10,231400.0ms
Bruce Springsteen,Born in the U.S.A.,75.0,0.398,122.093,10,4.64466667min
Radiohead,No Surprises,73.0,0.255,76.426,10,229120.0ms
Kero Kero Bonito,21/04/20,48.0,0.678,106.028,1,182075.0ms
Fear No Empire,Revolt,31.0,0.488,160.089,6,154962.0ms
Christian Lopez,Swim the River,43.0,0.344,200.166,0,2.93245min
Spiritbox,Circle With Me,65.0,0.422,102.743,10,233880.0ms
Eddie Harper,God Bless The Child,53.0,0.542,117.259,7,4.278616667min
